System,Package,Module,Smell,Line Ini,Line Fin
Scylla,django.django.contrib.admin,actions,Long method,19,94
Scylla,django.django.contrib.admin,checks,Long method,19,29
Scylla,django.django.contrib.admin,checks,Long method,30,46
Scylla,django.django.contrib.admin,checks,Long method,56,176
Scylla,django.django.contrib.admin,checks,Long method,178,194
Scylla,django.django.contrib.admin,checks,Long method,195,217
Scylla,django.django.contrib.admin,checks,Long method,218,268
Scylla,django.django.contrib.admin,checks,Long method,269,286
Scylla,django.django.contrib.admin,checks,Long method,287,316
Scylla,django.django.contrib.admin,checks,Long method,317,350
Scylla,django.django.contrib.admin,checks,Long method,351,371
Scylla,django.django.contrib.admin,checks,Long method,372,415
Scylla,django.django.contrib.admin,checks,Long method,416,432
Scylla,django.django.contrib.admin,checks,Long method,433,462
Scylla,django.django.contrib.admin,checks,Long method,463,482
Scylla,django.django.contrib.admin,checks,Long method,492,507
Scylla,django.django.contrib.admin,checks,Long method,508,523
Scylla,django.django.contrib.admin,checks,Long method,524,551
Scylla,django.django.contrib.admin,checks,Long method,552,568
Scylla,django.django.contrib.admin,checks,Long method,569,592
Scylla,django.django.contrib.admin,checks,Long method,593,609
Scylla,django.django.contrib.admin,checks,Long method,610,622
Scylla,django.django.contrib.admin,checks,Long method,623,642
Scylla,django.django.contrib.admin,checks,Long method,643,669
Scylla,django.django.contrib.admin,checks,Long method,670,685
Scylla,django.django.contrib.admin,checks,Long method,686,698
Scylla,django.django.contrib.admin,checks,Long method,699,716
Scylla,django.django.contrib.admin,checks,Long method,717,754
Scylla,django.django.contrib.admin,checks,Long method,755,773
Scylla,django.django.contrib.admin,checks,Long method,774,802
Scylla,django.django.contrib.admin,checks,Long method,804,821
Scylla,django.django.contrib.admin,checks,Long method,838,852
Scylla,django.django.contrib.admin,checks,Long method,853,890
Scylla,django.django.contrib.admin,checks,Long method,891,905
Scylla,django.django.contrib.admin,checks,Long method,906,943
Scylla,django.django.contrib.admin,checks,Long method,944,968
Scylla,django.django.contrib.admin,checks,Long method,969,981
Scylla,django.django.contrib.admin,checks,Long method,982,994
Scylla,django.django.contrib.admin,checks,Long method,995,1053
Scylla,django.django.contrib.admin,checks,Long method,1054,1066
